num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
13,16,32,6,1,6,9,25,68,44,none,17.25,2554.27
10,4,22,13,14,10,17,19,43,18,none,34.65,26.82
7,5,13,7,4,5,11,9,39,18,none,33.61,87.27
5,11,72,7,2,13,4,11,22,13,lz4,22.41,790.17
10,13,71,14,7,13,18,14,86,29,none,34.85,50.71
8,8,42,11,3,11,13,16,55,4,none,31.19,730.43
10,14,33,2,7,4,5,22,33,67,none,33.78,35.89
4,10,64,6,8,9,7,7,24,36,lz4,30.2,24.18
7,11,85,11,16,16,13,17,35,41,lz4,30.22,26.1
6,23,149,10,4,17,4,7,47,57,lz4,29.41,77.03
7,7,44,8,16,9,12,15,27,46,lz4,30.29,30.26
8,12,88,11,9,18,10,19,34,15,lz4,29.95,25.17
6,12,83,8,24,11,16,10,31,95,lz4,29.74,23.29
14,10,5,8,7,7,11,33,45,29,none,35.06,34.43
16,10,54,16,23,20,19,45,33,24,lz4,30.12,24.97
7,7,43,7,14,10,9,18,10,36,lz4,28.54,27.05
5,7,69,10,9,14,10,7,29,14,lz4,30.12,24.31
6,10,93,13,12,16,14,7,48,25,lz4,30.69,29.97
8,12,87,11,24,14,18,17,43,76,lz4,30.53,27.34
10,13,26,1,4,4,3,25,23,49,none,33,238.89
4,4,33,6,11,8,9,8,13,25,lz4,28.91,22.84
8,11,61,5,9,13,4,23,6,30,lz4,27.83,106.19
4,14,73,4,8,7,5,6,31,65,lz4,30.27,26.73
9,7,47,11,27,13,19,22,26,62,lz4,29.15,23.39
