num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
8,10,40,11,8,9,3,33,9,55,none,28.37,26.34
11,9,105,15,11,4,3,39,62,71,snappy,24.34,45.88
14,11,63,16,15,5,17,34,17,93,none,30.59,20.1
12,12,39,12,14,7,12,21,31,42,snappy,24.74,26
7,7,67,8,15,1,14,26,40,37,snappy,25.05,29.83
6,20,106,9,11,20,22,25,62,86,none,31.79,36.99
9,14,83,2,11,18,18,22,57,91,none,31.76,31.75
6,15,75,10,12,7,16,17,21,40,none,31.39,20
7,11,43,6,7,8,5,28,8,48,none,27.82,29.75
10,9,35,8,14,5,15,21,25,34,snappy,25.19,23.09
12,16,54,3,14,9,7,13,10,46,gzip,7.63,19.21
6,25,106,7,12,16,19,23,45,75,none,31.57,28.59
6,7,52,8,10,3,10,21,19,39,snappy,24.6,21.17
10,14,85,5,13,19,23,23,67,103,none,29.56,57.69
6,7,39,9,9,9,16,10,18,23,none,30.81,20.13
10,23,90,5,16,13,1,29,22,23,none,31.06,19.45
6,17,71,8,14,15,18,8,30,27,none,31.55,21.38
8,16,66,8,16,21,29,13,53,58,lz4,25.28,36.55
4,7,56,6,11,10,13,39,46,25,gzip,7.05,77.76
7,20,76,3,14,13,13,10,26,46,none,32.11,20.72
20,15,13,11,12,5,14,30,37,35,none,31.36,31.21
12,11,102,10,9,18,15,31,71,83,none,37.47,40.05
5,2,28,4,7,3,6,22,24,22,lz4,24.44,25.95
14,17,63,21,19,11,27,30,49,89,lz4,25.73,32.8
