num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T,L
3,2,25,12,19,7,13,19,24,14,none,34.26,100.28
5,4,38,2,6,7,30,31,59,3,lz4,29.41,63.44
15,1,80,15,20,8,26,14,42,24,none,33.33,78.82
16,24,22,16,13,15,13,8,31,2,none,33.69,34.07
15,15,11,1,17,5,29,5,62,57,none,34.58,41.34
10,5,97,18,18,11,7,20,59,65,snappy,30.24,40.64
19,6,90,3,1,1,19,36,27,10,lz4,11.98,4650.27
3,5,73,1,18,7,21,8,25,82,snappy,29.17,56.65
1,14,14,14,8,19,10,42,13,18,gzip,9.89,26.35
4,12,21,10,15,8,4,19,28,6,gzip,9.53,44.25
7,15,63,14,12,15,12,30,30,19,snappy,29.97,31.89
15,23,87,20,11,6,30,28,50,61,none,33.25,144.9
14,23,60,1,20,19,6,37,45,16,gzip,9.4,62.89
20,18,44,10,4,2,17,5,45,95,gzip,9.49,65.88
9,12,41,3,2,9,16,25,1,55,gzip,13.57,12.57
14,16,65,14,14,3,19,3,48,18,gzip,9.41,67.44
15,13,3,14,6,13,4,48,49,5,none,33.07,209.78
13,5,47,15,15,17,9,15,34,0,snappy,30.04,29.28
8,19,49,16,4,9,7,8,12,64,gzip,10.13,17.32
12,11,39,8,5,10,8,24,38,42,gzip,9.47,58.26
1,9,57,9,19,18,5,39,39,37,snappy,29.79,84.21
15,2,64,6,8,9,5,6,34,80,snappy,29.52,80.27
7,20,27,8,3,9,6,1,17,99,lz4,20.3,74.76
9,17,16,20,19,16,9,30,30,38,snappy,29.45,28.27
15,1,21,10,5,14,19,31,23,5,none,32.46,148.67
3,6,52,12,19,3,2,33,55,37,lz4,26.3,461.65
2,13,14,9,17,20,1,27,10,80,lz4,28.83,36.42
11,20,95,6,13,18,9,24,7,76,lz4,27.26,326.58
18,13,25,14,1,18,12,24,46,68,snappy,13.08,3094.47
9,5,75,20,16,18,23,21,64,95,snappy,30.46,48.26
14,14,37,1,12,19,21,12,12,21,gzip,10.2,18.19
3,4,37,13,19,3,6,6,56,51,none,32.25,167.64
6,13,76,1,13,20,16,12,36,97,lz4,31.18,30.52
2,9,68,14,2,1,2,7,17,37,snappy,13.24,868.28
2,9,89,10,12,10,15,16,47,63,gzip,9.38,77.09
11,4,52,14,15,18,2,29,7,18,none,31.52,443.25
16,20,40,11,6,6,8,40,20,37,none,33.15,406.35
8,13,80,4,19,6,8,25,48,29,snappy,28.58,62.8
2,6,62,3,5,14,26,46,57,93,snappy,25.6,935.78
18,1,59,16,8,15,16,3,38,68,none,31.09,147.58
3,24,19,9,2,18,23,45,55,67,none,19.79,3746.33
8,9,57,3,5,6,8,14,43,81,gzip,9.45,59.5
15,22,90,1,10,9,18,16,23,38,snappy,29.57,26.95
3,1,37,8,6,2,22,44,36,19,none,22.24,2978.06
14,23,80,10,11,14,26,23,11,45,gzip,10.18,22.61
4,11,79,10,8,17,26,46,40,6,snappy,29.79,82.06
6,6,76,2,15,6,11,37,60,67,lz4,29.99,127.89
14,10,71,11,14,10,16,42,34,70,lz4,29.68,29.79
2,10,42,11,17,18,22,44,3,48,none,15.67,3808.22
16,22,44,12,18,18,20,26,61,67,snappy,30.35,41.8
14,5,56,9,2,10,5,45,48,67,snappy,17.71,3712.2
16,19,11,18,10,9,28,28,60,85,none,34.85,40.41
15,21,4,9,13,15,15,36,63,85,none,34.86,57.29
15,1,25,19,11,3,13,3,61,30,none,30.51,120.26
10,17,57,6,7,13,26,27,64,80,gzip,9.28,91.39
5,24,28,3,9,19,10,3,52,26,snappy,30.19,41.87
8,17,91,14,6,19,26,31,48,65,gzip,9.22,71.72
17,2,94,3,9,2,23,33,42,72,gzip,9.26,59.9
10,18,39,3,19,12,21,39,30,4,none,34.53,30.59
19,20,54,13,16,14,29,11,35,89,snappy,29.67,31.26
11,19,96,7,6,7,26,5,13,64,none,31.68,162.32
4,19,92,19,4,11,27,48,63,62,gzip,9.29,89.26
9,4,24,3,12,18,3,36,10,1,snappy,28.64,44.5
2,9,1,17,16,3,26,7,64,19,lz4,28.59,170.84
7,14,29,20,5,15,2,30,6,94,none,23.19,1782.9
9,21,42,14,12,4,9,14,28,81,snappy,29.34,70.19
20,5,96,11,10,19,9,27,18,8,snappy,29.19,37.05
4,1,28,18,5,16,9,13,41,31,lz4,29.16,246.24
12,7,75,15,1,18,8,42,6,69,snappy,12.26,5008.51
13,3,38,7,5,15,7,35,34,79,lz4,29.22,104.2
15,19,30,15,10,16,17,23,45,49,lz4,30.42,36.96
5,18,29,9,10,9,9,33,56,39,gzip,9.31,76.65
20,10,40,14,10,6,7,12,12,17,none,27.16,656.21
1,21,59,16,12,3,22,1,3,12,lz4,10.23,157.27
18,8,16,6,15,14,27,31,8,68,none,33.07,98.21
19,7,26,7,14,5,21,32,58,53,lz4,29.75,129.73
5,23,75,13,13,13,4,37,55,65,lz4,30.24,64.29
5,5,66,7,2,3,1,21,27,72,gzip,9.51,42.16
1,12,15,4,5,15,23,41,57,30,lz4,24.39,1630.92
13,4,23,9,2,19,6,30,63,91,lz4,17.35,2806.1
6,5,71,14,9,15,23,2,54,99,none,30.84,90.42
3,16,85,3,19,4,20,22,18,40,gzip,9.62,34.1
10,1,48,18,6,20,3,47,28,29,snappy,28.81,186.32
10,9,25,4,6,4,7,29,8,87,none,23.85,1665.02
10,6,16,3,16,14,7,41,31,35,none,34.72,40.61
4,15,71,7,19,9,16,7,5,25,lz4,12.97,512.97
12,17,96,4,9,3,3,3,13,88,none,30.42,122.99
20,21,93,14,15,19,8,18,55,3,none,34.62,37.81
6,7,26,1,7,10,15,12,63,88,gzip,9.21,84.87
7,24,2,19,12,10,28,19,15,9,gzip,9.85,24.68
5,20,18,13,12,1,22,41,53,64,gzip,9.41,77.37
18,19,31,2,6,3,3,23,4,5,snappy,16.42,1568.82
5,14,26,13,9,20,18,34,5,40,snappy,11.64,2598.87
18,20,93,20,2,12,10,7,38,91,gzip,9.49,58.89
1,13,68,13,4,5,9,4,44,4,lz4,16.5,419.56
2,4,19,14,9,15,30,21,12,52,gzip,10.15,18.16
2,8,2,16,5,15,5,21,21,86,none,27.28,1194.74
2,20,73,15,7,3,19,48,17,55,none,27.08,2008.01
13,18,73,14,14,19,7,37,2,17,gzip,12.54,11.82
9,7,38,20,9,19,10,44,36,94,gzip,9.27,56.81
10,9,56,14,10,1,23,45,10,39,lz4,27.61,40.93
4,20,42,11,6,2,4,48,46,91,lz4,28.8,186.76
7,23,43,2,11,20,10,47,59,47,none,34.27,40.86
13,19,84,4,8,20,18,24,48,44,snappy,29.46,49.17
16,20,81,5,8,17,19,20,57,13,snappy,30.76,63
12,13,65,20,16,13,21,36,18,27,snappy,28.85,25.05
17,12,80,12,6,18,27,16,14,64,lz4,28.72,49.35
3,9,2,20,7,1,7,45,6,68,lz4,18.48,3202.7
3,3,96,13,6,11,17,3,4,97,none,15.81,226.93
11,7,45,8,15,16,9,34,39,47,snappy,29.8,39.27
4,24,18,3,7,7,16,27,11,90,lz4,28.52,35.11
11,6,85,14,11,3,29,17,34,55,snappy,28.61,118.68
10,7,3,13,10,2,5,32,24,41,snappy,28.73,116.52
12,11,35,18,14,19,11,17,2,55,snappy,15.77,1983.54
3,6,85,4,20,16,24,12,60,23,gzip,9.38,99.19
11,3,54,5,14,13,13,21,54,60,lz4,30.53,62.16
9,1,19,19,3,7,5,45,51,89,none,21.33,3425.25
17,20,62,19,7,5,16,9,44,98,gzip,9.34,66.82
5,15,63,12,11,9,2,3,39,98,none,32.57,75.08
4,19,16,7,2,12,23,2,40,30,none,15.92,216.6
13,13,1,11,20,1,18,29,40,83,gzip,9.34,62.54
11,5,63,3,12,15,1,45,16,65,snappy,28.88,38.47
18,10,40,3,11,18,17,40,29,23,lz4,29.44,35.86
12,18,20,1,4,18,22,15,57,79,lz4,26.29,797.77
10,7,46,12,19,20,2,43,60,84,gzip,9.29,91.81
20,4,37,9,7,9,2,21,33,80,snappy,22,1414.09
13,15,20,14,10,20,17,18,60,46,snappy,28.91,58.76
16,14,75,9,6,20,15,16,31,34,none,30.04,702.66
20,15,61,12,1,11,24,19,51,28,gzip,9.36,77.79
6,8,58,2,9,15,3,8,56,32,none,34.47,45.34
5,10,72,12,6,15,5,35,52,99,snappy,28.93,51.55
12,17,100,16,9,10,8,37,58,31,snappy,29.58,43.64
5,2,35,12,19,20,27,14,48,0,none,33.58,30.85
14,5,63,4,10,11,15,36,50,7,none,34.59,40.07
16,23,98,3,2,10,2,8,3,34,lz4,14.26,870.56
13,21,16,5,5,8,8,16,39,80,lz4,29.35,90.23
14,2,63,17,13,9,6,6,55,53,gzip,9.22,81.02
13,22,37,1,18,19,5,19,37,92,gzip,9.45,52.49
9,14,87,19,13,2,26,7,3,59,none,19.32,569.61
3,4,86,15,6,2,2,45,42,52,gzip,9.32,59.66
13,14,73,2,3,16,16,10,43,61,gzip,9.43,61.51
17,16,25,20,16,15,26,21,42,35,lz4,30.56,29.99
14,11,13,16,17,10,4,27,53,19,lz4,30.4,34.71
7,9,83,9,7,14,7,35,19,14,gzip,9.57,27.53
9,17,42,10,13,15,12,18,38,29,gzip,9.37,56.93
11,18,11,5,15,12,12,48,56,52,none,34.68,32.47
11,16,13,19,4,18,11,42,41,16,none,32.78,205.63
7,21,28,12,14,2,5,11,34,22,lz4,29.91,70.43
2,2,43,4,9,12,7,20,5,2,none,32.68,526.48
2,24,97,2,2,3,15,33,9,76,none,13.36,3619.31
6,22,96,10,15,20,27,44,58,7,snappy,30.31,34.01
14,3,48,1,10,16,19,38,11,94,snappy,28.86,25.39
15,10,21,18,6,12,27,22,53,56,lz4,30.34,43.75
20,6,16,19,10,9,19,6,33,47,lz4,30.27,25.94
19,2,2,2,17,7,4,3,13,75,gzip,9.84,18.96
18,14,4,14,19,8,22,18,40,59,none,34.75,31.9
17,20,27,2,4,5,25,16,32,19,gzip,9.51,46.04
1,23,54,4,10,20,11,13,13,58,snappy,29.41,44.79
1,1,50,19,18,13,22,28,38,6,gzip,9.39,59.42
1,21,30,12,13,1,29,3,40,49,snappy,28.33,77.25
17,13,74,15,8,11,9,42,24,29,gzip,9.55,34.21
10,3,85,9,18,15,4,23,26,75,none,34.93,23.89
19,24,71,3,15,6,7,2,34,98,gzip,9.39,47.14
8,9,9,10,10,11,12,33,35,98,snappy,29.93,27.33
12,15,96,3,10,4,14,45,58,47,none,33.95,98.84
13,3,99,5,7,5,28,11,61,96,gzip,9.29,81.16
4,17,79,13,7,13,10,1,29,18,none,31.81,31.17
17,1,82,20,4,11,15,16,58,2,snappy,28.25,187.97
3,21,91,5,12,17,29,22,64,84,snappy,30.42,42.86
13,11,9,3,2,9,26,26,51,65,lz4,20.91,1973.74
2,14,24,18,1,8,1,16,15,44,gzip,9.63,25.88
11,18,58,8,19,16,27,1,38,16,none,33.91,26.86
12,24,73,17,9,9,18,38,56,49,snappy,30.07,37.31
1,24,2,19,17,3,22,44,20,53,lz4,28.52,111.11
17,23,18,17,11,16,30,20,28,72,none,34.7,24.27
16,5,17,7,20,6,22,32,43,6,snappy,29.92,28.82
16,7,97,18,19,14,7,42,6,42,none,32.59,352.98
12,23,48,2,20,18,1,2,8,8,none,32.66,37.07
18,24,69,13,8,13,19,37,27,30,snappy,27.22,45.38
4,23,73,11,20,1,15,44,10,13,gzip,10.34,14.95
14,24,98,3,8,18,9,41,26,88,snappy,29.86,25.16
16,20,17,7,18,2,3,48,63,11,lz4,30.03,69.4
16,11,71,17,1,18,28,20,59,58,snappy,14.97,2266.06
7,24,90,20,17,1,27,27,6,43,lz4,28,47.49
19,16,68,3,3,11,12,25,62,100,none,27.34,1326.7
7,3,49,11,19,13,15,15,26,67,none,28.2,453.06
1,21,81,13,2,2,2,40,60,60,lz4,15.34,4338.21
20,13,85,15,14,15,18,44,63,66,gzip,9.25,82.93
11,17,94,12,2,20,30,12,18,89,snappy,21.12,863.04
2,15,30,10,6,3,11,47,46,99,none,28.95,1225.29
